name,fips,mi2
"Boone, IA",19015,573.54
"Louisa, IA",19115,417.67
"Butler, KS",20015,1446.49
"Marion, KS",20115,953.59
"Boone, KY",21015,256.98
"Johnson, KY",21115,263.96
"Spencer, KY",21215,191.81
"Bossier, LA",22015,867.01
"Vernon, LA",22115,1341.61
"Lincoln, ME",23015,699.97
"Cecil, MD",24015,417.89
"Hampshire, MA",25015,545.47
"Barry, MI",26015,576.93
"Monroe, MI",26115,680.1
"Brown, MN",27015,618.62
"Pine, MN",27115,1434.68
"Carroll, MS",28015,634.59
"Pontotoc, MS",28115,501.02
"Benton, MO",29015,752.55
"Linn, MO",29115,621.5
"Texas, MO",29215,1179.33
"Chouteau, MT",30015,3997.13
"Boyd, NE",31015,544.64
"Loup, NE",31115,571.06
"Lander, NV",32015,5519.64
"Rockingham, NH",33015,794.04
"Gloucester, NJ",34015,337
"Eddy, NM",35015,4197.8
"Chemung, NY",36015,410.81
"Washington, NY",36115,845.91
"Bertie, NC",37015,741.22
"Madison, NC",37115,451.61
"Burleigh, ND",38015,1668.12
"Brown, OH",39015,495.26
"Morgan, OH",39115,421.88
"Caddo, OK",40015,1290.41
"Ottawa, OK",40115,484.77
"Curry, OR",41015,1988.64
"Bradford, PA",42015,1161.09
"Susquehanna, PA",42115,832.44
"Berkeley, SC",45015,1229.23
"Brule, SD",46015,846.56
"Spink, SD",46115,1510.18
"Cannon, TN",47015,265.73
"Marion, TN",47115,513.8
"Austin, TX",48015,656.44
"Dawson, TX",48115,902.16
"Hidalgo, TX",48215,1582.78
"Marion, TX",48315,420.39
"Scurry, TX",48415,907.61
"Emery, UT",49015,4461.83
"Lamoille, VT",50015,463.47
"Augusta, VA",51015,972.28
"Mathews, VA",51115,251.98
"Bedford, VA",51515,6.86
"Cowlitz, WA",53015,1166.41
"Clay, WV",54015,343.85
"Calumet, WI",55015,397.06
"Shawano, WI",55115,909.39
"Goshen, WY",56015,2232.31
"Aleutians West, AK",2016,14114.7
"Chambers, AL",1017,603.15
"Shelby, AL",1117,809.6
"Navajo, AZ",4017,9960.22
"Chicot, AR",5017,690.93
"Prairie, AR",5117,675.81
"El Dorado, CA",6017,1791.29
"Cheyenne, CO",8017,1781.5
"Summit, CO",8117,619.29
"Citrus, FL",12017,773.24
"Seminole, FL",12117,344.9
"Ben Hill, GA",13017,254.04
"Forsyth, GA",13117,247.38
"Newton, GA",13217,279.21
"Wilkes, GA",13317,474.03
"Bonner, ID",16017,1919.62
"Cass, IL",17017,383.76
"Macoupin, IL",17117,867.65
"Cass, IN",18017,414.95
"Orange, IN",18117,408.23
"Bremer, IA",19017,439.64
"Lucas, IA",19117,434.21
"Chase, KS",20017,778.06
"Marshall, KS",20117,904.41
"Bourbon, KY",21017,291.68
"Kenton, KY",21117,164.97
"Taylor, KY",21217,277.06
"Caddo, LA",22017,937.01
"Washington, LA",22117,676.01
"Oxford, ME",23017,2175.44
"Charles, MD",24017,643.27
"Middlesex, MA",25017,847.63
"Bay, MI",26017,630.98
"Montcalm, MI",26117,721.02
"Carlton, MN",27017,875.28
"Pipestone, MN",27117,466.17
"Chickasaw, MS",28017,504.3
"Prentiss, MS",28117,418.28
"Bollinger, MO",29017,621.21
"Livingston, MO",29117,538.51
"Vernon, MO",29217,837.11
"Custer, MT",30017,3793.37
"Brown, NE",31017,1225.15
"McPherson, NE",31117,860.06
"Lincoln, NV",32017,10637.44
"Strafford, NH",33017,383.95
